id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
3311,2022-04-01 00:31:42,1648762302,2022-12-26 14:16:44,1672057004,🔴 00:31 Повітряна тривога в м. Київ,,#м_Київ,Пройдіть в укриття.
3312,2022-04-01 00:32:50,1648762370,,,🔴 00:32 Повітряна тривога в Житомирська область,,#Житомирська_область,Пройдіть в укриття.
3313,2022-04-01 00:33:52,1648762432,,,🔴 00:33 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Пройдіть в укриття.
3314,2022-04-01 00:34:27,1648762467,,,🔴 00:34 Повітряна тривога в Запорізька область,,#Запорізька_область,Пройдіть в укриття.
3315,2022-04-01 00:35:51,1648762551,,,🔴 00:35 Повітряна тривога в Краматорський район,,#Краматорський_район,Пройдіть в укриття.
3316,2022-04-01 00:36:07,1648762567,,,🔴 00:35 Повітряна тривога в Сумська область,,#Сумська_область,Пройдіть в укриття.
3317,2022-04-01 00:36:44,1648762604,,,🔴 00:36 Повітряна тривога в Київська область,,#Київська_область,Пройдіть в укриття.
3318,2022-04-01 00:38:00,1648762680,2022-12-11 12:57:56,1670756276,🔴 00:37 Повітряна тривога в м. Черкаси та Черкаська територіальна громада,,#м_Черкаси_та_Черкаська_територіальна_громада,Пройдіть в укриття.
3319,2022-04-01 00:38:04,1648762684,,,🔴 00:38 Повітряна тривога в Черкаська область,,#Черкаська_область,Пройдіть в укриття.
3320,2022-04-01 00:39:22,1648762762,,,🔴 00:39 Повітряна тривога в Чернігівська область,,#Чернігівська_область,Пройдіть в укриття.
3321,2022-04-01 00:39:56,1648762796,,,🔴 00:39 Повітряна тривога в Покровський район,,#Покровський_район,Пройдіть в укриття.
3322,2022-04-01 00:42:28,1648762948,,,🔴 00:42 Повітряна тривога в Вінницька область,,#Вінницька_область,Пройдіть в укриття.
3323,2022-04-01 00:42:42,1648762962,,,🔴 00:42 Повітряна тривога в м. Кременчук та Кременчуцька територіальна громада,,#м_Кременчук_та_Кременчуцька_територіальна_громада,Пройдіть в укриття.
