id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
16513,2022-07-01 00:01:10,1656622870,,,,,#Харківська_область,"🔴 00:01 Повітряна тривога в Харківська область
Слідкуйте за подальшими повідомленнями."
16514,2022-07-01 00:11:11,1656623471,,,,,#Арбузинська_територіальна_громада,"🔴 00:11 Повітряна тривога в Арбузинська територіальна громада
Слідкуйте за подальшими повідомленнями."
16515,2022-07-01 00:11:42,1656623502,,,,,#Миколаївська_область,"🔴 00:11 Повітряна тривога в Миколаївська область
Слідкуйте за подальшими повідомленнями."
16516,2022-07-01 00:11:54,1656623514,,,,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,"🔴 00:11 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада
Слідкуйте за подальшими повідомленнями."
16517,2022-07-01 00:11:58,1656623518,,,,,#Кривоозерська_територіальна_громада,"🔴 00:11 Повітряна тривога в Кривоозерська територіальна громада
Слідкуйте за подальшими повідомленнями."
16518,2022-07-01 00:12:52,1656623572,,,,,#Одеська_область,"🔴 00:12 Повітряна тривога в Одеська область
Слідкуйте за подальшими повідомленнями."
16519,2022-07-01 00:31:12,1656624672,,,,,#Черкаська_область,"🔴 00:31 Повітряна тривога в Черкаська область
Слідкуйте за подальшими повідомленнями."
16520,2022-07-01 00:31:50,1656624710,,,,,#Вінницька_область,"🔴 00:31 Повітряна тривога в Вінницька область
Слідкуйте за подальшими повідомленнями."
16521,2022-07-01 00:32:01,1656624721,,,,,#Кіровоградська_область,"🔴 00:31 Повітряна тривога в Кіровоградська область
Слідкуйте за подальшими повідомленнями."
16522,2022-07-01 00:34:35,1656624875,2022-11-16 13:46:14,1668599174,,,#Дніпропетровська_область,"🔴 00:34 Повітряна тривога в Дніпропетровська область
Слідкуйте за подальшими повідомленнями."
16523,2022-07-01 00:34:37,1656624877,2022-11-16 13:46:21,1668599181,,,#Запорізька_область,"🔴 00:34 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
16524,2022-07-01 00:34:56,1656624896,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🔴 00:34 Повітряна тривога в м. Кривий Ріг та Криворізька територіальна громада
Слідкуйте за подальшими повідомленнями."
16525,2022-07-01 00:38:40,1656625120,,,,,#Харківська_область,"🟢 00:38 Відбій тривоги в Харківська область.
Слідкуйте за подальшими повідомленнями."
16526,2022-07-01 00:57:31,1656626251,,,,,#Арбузинська_територіальна_громада,"🟡 00:57  Відбій тривоги в Арбузинська територіальна громада.
Зверніть увагу, тривога ще триває у:
-Миколаївська область"
16527,2022-07-01 00:57:33,1656626253,,,,,#Одеська_область,"🟢 00:57 Відбій тривоги в Одеська область.
Слідкуйте за подальшими повідомленнями."
16528,2022-07-01 00:58:02,1656626282,,,,,#Кривоозерська_територіальна_громада,"🟡 00:57  Відбій тривоги в Кривоозерська територіальна громада.
Зверніть увагу, тривога ще триває у:
-Миколаївська область"
16529,2022-07-01 00:58:10,1656626290,,,,,#Черкаська_область,"🟢 00:58 Відбій тривоги в Черкаська область.
Слідкуйте за подальшими повідомленнями."
16530,2022-07-01 00:58:33,1656626313,,,,,#Кіровоградська_область,"🟢 00:58 Відбій тривоги в Кіровоградська область.
Слідкуйте за подальшими повідомленнями."
16531,2022-07-01 00:59:39,1656626379,,,,,#Миколаївська_область,"🟡 00:59  Відбій тривоги в Миколаївська область.
Зверніть увагу, тривога ще триває у:
-м. Вознесенськ та Вознесенська територіальна громада"
16532,2022-07-01 01:00:27,1656626427,,,,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,"🟢 01:00 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.
Слідкуйте за подальшими повідомленнями."
16533,2022-07-01 01:03:04,1656626584,,,,,#Вінницька_область,"🟢 01:03 Відбій тривоги в Вінницька область.
Слідкуйте за подальшими повідомленнями."
