id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
27283,2022-10-01 00:02:28,1664571748,,,🔴 00:02 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
27284,2022-10-01 00:02:50,1664571770,,,🔴 00:02 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
27285,2022-10-01 00:45:08,1664574308,,,🟡 00:45  Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,"Зверніть увагу, тривога ще триває у:
- Миколаївська область"
27286,2022-10-01 00:51:39,1664574699,,,🔴 00:51 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
27287,2022-10-01 02:06:30,1664579190,,,🟡 02:06  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- Кривоозерська територіальна громада
- м. Вознесенськ та Вознесенська територіальна громада"
27288,2022-10-01 02:10:30,1664579430,,,🟢 02:10 Відбій тривоги в Кривоозерська територіальна громада.,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
27289,2022-10-01 03:10:54,1664583054,,,🟢 03:10 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
27290,2022-10-01 03:42:18,1664584938,,,🔴 03:42 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
27291,2022-10-01 04:06:52,1664586412,,,🔴 04:06 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
27292,2022-10-01 04:10:53,1664586653,,,🟢 04:10 Відбій тривоги в Донецька область.,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
27293,2022-10-01 04:11:31,1664586691,,,🔴 04:11 Повітряна тривога в м. Київ,,#м_Київ,Слідкуйте за подальшими повідомленнями.
27294,2022-10-01 04:13:10,1664586790,,,🔴 04:13 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
