id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
32904,2022-12-01 06:10:49,1669867849,2022-12-01 06:10:57,1669867857,🟢 06:10 Відбій загрози артобстрілу в м. Нікополь та Нікопольська територіальна громада.,,#м_Нікополь_та_Нікопольська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
32905,2022-12-01 09:12:54,1669878774,2022-12-01 09:12:58,1669878778,🔴 09:12 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
32906,2022-12-01 09:26:30,1669879590,2022-12-01 09:26:32,1669879592,🔴 09:26 Повітряна тривога в Херсонська область,,#Херсонська_область,Слідкуйте за подальшими повідомленнями.
32907,2022-12-01 09:26:32,1669879592,2022-12-01 09:26:32,1669879592,🔴 09:26 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
32908,2022-12-01 09:26:45,1669879605,2022-12-01 09:26:48,1669879608,🔴 09:26 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
32909,2022-12-01 09:26:55,1669879615,2022-12-01 09:26:58,1669879618,🔴 09:26 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
32910,2022-12-01 09:27:22,1669879642,2022-12-01 09:27:27,1669879647,🔴 09:27 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
32911,2022-12-01 09:58:12,1669881492,2022-12-01 09:58:13,1669881493,🟢 09:58 Відбій тривоги в Донецька область.,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
32912,2022-12-01 09:58:15,1669881495,2022-12-01 09:58:17,1669881497,🟢 09:58 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
32913,2022-12-01 09:58:22,1669881502,2022-12-01 09:58:22,1669881502,🟢 09:58 Відбій тривоги в Херсонська область.,,#Херсонська_область,Слідкуйте за подальшими повідомленнями.
32914,2022-12-01 09:58:43,1669881523,2022-12-01 09:58:44,1669881524,🟢 09:58 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
32915,2022-12-01 09:58:48,1669881528,2022-12-01 09:58:48,1669881528,🟢 09:58 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
