id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
22808,2022-08-24 21:36:00,1661366160,,,🟢 21:36 Відбій тривоги в Харківська область.,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
22809,2022-08-24 22:18:27,1661368707,,,🔴 22:18 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22810,2022-08-24 22:19:09,1661368749,,,🔴 22:19 Повітряна тривога в Херсонська область,,#Херсонська_область,Слідкуйте за подальшими повідомленнями.
22811,2022-08-24 22:19:42,1661368782,,,🔴 22:19 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
22812,2022-08-24 22:20:37,1661368837,,,🔴 22:20 Повітряна тривога в Одеська область,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
22813,2022-08-24 22:26:06,1661369166,,,🔴 22:26 Повітряна тривога в Кривоозерська територіальна громада,,#Кривоозерська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
22814,2022-08-24 22:35:29,1661369729,,,🔴 22:35 Повітряна тривога в Полтавська область,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
22815,2022-08-24 22:35:41,1661369741,,,🔴 22:35 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
22816,2022-08-24 22:35:43,1661369743,,,🔴 22:35 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
22817,2022-08-24 22:36:56,1661369816,,,🔴 22:36 Повітряна тривога в Черкаська область,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
22818,2022-08-24 22:37:02,1661369822,,,🔴 22:37 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
22819,2022-08-24 22:55:35,1661370935,,,🟢 22:55 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
22820,2022-08-24 22:55:51,1661370951,,,🟢 22:55 Відбій тривоги в Полтавська область.,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
22821,2022-08-24 22:55:57,1661370957,,,🟢 22:55 Відбій тривоги в Черкаська область.,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
22822,2022-08-24 22:56:06,1661370966,,,🟢 22:56 Відбій тривоги в Херсонська область.,,#Херсонська_область,Слідкуйте за подальшими повідомленнями.
22823,2022-08-24 22:56:06,1661370966,,,🟢 22:56 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
22824,2022-08-24 22:56:08,1661370968,,,🟢 22:56 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
22825,2022-08-24 22:57:34,1661371054,,,🟢 22:57 Відбій тривоги в Одеська область.,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
22826,2022-08-24 22:58:37,1661371117,,,🟢 22:58 Відбій тривоги в Донецька область.,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
