id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
23601,2022-09-01 00:05:20,1661979920,,,🔴 00:05 Повітряна тривога в м. Вознесенськ та Вознесенська територіальна громада,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
23602,2022-09-01 00:06:59,1661980019,,,🔴 00:06 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
23603,2022-09-01 00:10:43,1661980243,,,🔴 00:10 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
23604,2022-09-01 00:10:45,1661980245,,,🔴 00:10 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
23605,2022-09-01 00:12:37,1661980357,,,🔴 00:12 Повітряна тривога в Черкаська область,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
23606,2022-09-01 00:12:39,1661980359,,,🔴 00:12 Повітряна тривога в Полтавська область,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
23607,2022-09-01 00:12:56,1661980376,,,🔴 00:12 Повітряна тривога в м. Харків та Харківська територіальна громада,,#м_Харків_та_Харківська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
23608,2022-09-01 00:13:14,1661980394,,,🔴 00:13 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
23609,2022-09-01 00:15:16,1661980516,,,🔴 00:15 Повітряна тривога в Сумська область,,#Сумська_область,Слідкуйте за подальшими повідомленнями.
23610,2022-09-01 00:17:26,1661980646,,,🔴 00:17 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
23611,2022-09-01 00:33:31,1661981611,,,🟢 00:33 Відбій тривоги в Полтавська область.,,#Полтавська_область,Слідкуйте за подальшими повідомленнями.
23612,2022-09-01 00:33:32,1661981612,,,🟢 00:33 Відбій тривоги в Черкаська область.,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
23613,2022-09-01 00:33:36,1661981616,,,🟢 00:33 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
23614,2022-09-01 00:33:46,1661981626,,,🟢 00:33 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
23615,2022-09-01 00:34:17,1661981657,,,🟡 00:34  Відбій тривоги в м. Харків та Харківська територіальна громада.,,#м_Харків_та_Харківська_територіальна_громада,"Зверніть увагу, тривога ще триває у:
- Харківська область"
23616,2022-09-01 00:34:50,1661981690,,,🟢 00:34 Відбій тривоги в Харківська область.,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
23617,2022-09-01 00:34:52,1661981692,,,🟢 00:34 Відбій тривоги в Донецька область.,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
23618,2022-09-01 00:34:57,1661981697,,,🟡 00:34  Відбій тривоги в Миколаївська область.,,#Миколаївська_область,"Зверніть увагу, тривога ще триває у:
- м. Вознесенськ та Вознесенська територіальна громада"
23619,2022-09-01 00:35:12,1661981712,,,🟢 00:35 Відбій тривоги в Запорізька область.,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
23620,2022-09-01 00:43:09,1661982189,,,🟢 00:43 Відбій тривоги в м. Вознесенськ та Вознесенська територіальна громада.,,#м_Вознесенськ_та_Вознесенська_територіальна_громада,Слідкуйте за подальшими повідомленнями.
23621,2022-09-01 00:44:29,1661982269,,,🟢 00:44 Відбій тривоги в Сумська область.,,#Сумська_область,Слідкуйте за подальшими повідомленнями.
23622,2022-09-01 02:49:24,1661989764,2022-11-22 01:48:48,1669074528,🔴 02:49 Повітряна тривога в Черкаська область,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
23623,2022-09-01 02:49:55,1661989795,,,🔴 02:49 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
23624,2022-09-01 02:52:31,1661989951,,,🔴 02:52 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
23625,2022-09-01 02:53:45,1661990025,,,🔴 02:53 Повітряна тривога в Одеська область,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
23626,2022-09-01 03:32:05,1661992325,,,🟢 03:32 Відбій тривоги в Черкаська область.,,#Черкаська_область,Слідкуйте за подальшими повідомленнями.
23627,2022-09-01 03:32:38,1661992358,,,🟢 03:32 Відбій тривоги в Кіровоградська область.,,#Кіровоградська_область,Слідкуйте за подальшими повідомленнями.
23628,2022-09-01 03:34:37,1661992477,,,🟢 03:34 Відбій тривоги в Одеська область.,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
23629,2022-09-01 03:36:15,1661992575,,,🟢 03:36 Відбій тривоги в Миколаївська область.,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
23630,2022-09-01 04:05:35,1661994335,,,🔴 04:05 Повітряна тривога в Харківська область,,#Харківська_область,Слідкуйте за подальшими повідомленнями.
23631,2022-09-01 04:14:37,1661994877,,,🔴 04:14 Повітряна тривога в Миколаївська область,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
23632,2022-09-01 04:18:08,1661995088,,,🔴 04:18 Повітряна тривога в Одеська область,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
23633,2022-09-01 04:24:23,1661995463,,,🔴 04:24 Повітряна тривога в Запорізька область,,#Запорізька_область,Слідкуйте за подальшими повідомленнями.
23634,2022-09-01 04:24:23,1661995463,,,🔴 04:24 Повітряна тривога в Дніпропетровська область,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
23635,2022-09-01 04:25:58,1661995558,,,🔴 04:25 Повітряна тривога в Донецька область,,#Донецька_область,Слідкуйте за подальшими повідомленнями.
23636,2022-09-01 04:43:26,1661996606,,,🟢 04:43 Відбій тривоги в Одеська область.,,#Одеська_область,Слідкуйте за подальшими повідомленнями.
23637,2022-09-01 04:44:43,1661996683,,,🟢 04:44 Відбій тривоги в Дніпропетровська область.,,#Дніпропетровська_область,Слідкуйте за подальшими повідомленнями.
23638,2022-09-01 04:45:12,1661996712,,,🟢 04:45 Відбій тривоги в Миколаївська область.,,#Миколаївська_область,Слідкуйте за подальшими повідомленнями.
