id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
8265,2022-05-01 01:54:42,1651359282,,,,,#Донецька_область,"🔴 01:54 Повітряна тривога в Донецька область
Слідкуйте за подальшими повідомленнями."
8266,2022-05-01 02:18:22,1651360702,,,,,#Донецька_область,"🟢 02:18 Відбій тривоги в Донецька область.
Слідкуйте за подальшими повідомленнями."
8267,2022-05-01 05:32:41,1651372361,,,,,#Дніпропетровська_область,"🔴 05:32 Повітряна тривога в Дніпропетровська область
Слідкуйте за подальшими повідомленнями."
8268,2022-05-01 05:33:15,1651372395,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🔴 05:33 Повітряна тривога в м. Кривий Ріг та Криворізька територіальна громада
Слідкуйте за подальшими повідомленнями."
8269,2022-05-01 05:34:03,1651372443,,,,,#Харківська_область,"🔴 05:34 Повітряна тривога в Харківська область
Слідкуйте за подальшими повідомленнями."
8270,2022-05-01 05:34:16,1651372456,,,,,#Полтавська_область,"🔴 05:34 Повітряна тривога в Полтавська область
Слідкуйте за подальшими повідомленнями."
8271,2022-05-01 05:34:28,1651372468,,,,,#Запорізька_область,"🔴 05:34 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
8272,2022-05-01 05:36:00,1651372560,,,,,#Донецька_область,"🔴 05:36 Повітряна тривога в Донецька область
Слідкуйте за подальшими повідомленнями."
8273,2022-05-01 05:47:54,1651373274,,,,,#Сумська_область,"🔴 05:47 Повітряна тривога в Сумська область
Слідкуйте за подальшими повідомленнями."
8274,2022-05-01 06:07:17,1651374437,,,,,#Донецька_область,"🟢 06:07 Відбій тривоги в Донецька область.
Слідкуйте за подальшими повідомленнями."
8275,2022-05-01 06:12:36,1651374756,,,,,#Дніпропетровська_область,"🟡 06:12  Відбій тривоги в Дніпропетровська область.
Зверніть увагу, тривога ще триває у:
-м. Кривий Ріг та Криворізька територіальна громада"
8276,2022-05-01 06:12:59,1651374779,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🟢 06:12 Відбій тривоги в м. Кривий Ріг та Криворізька територіальна громада.
Слідкуйте за подальшими повідомленнями."
8277,2022-05-01 06:13:55,1651374835,,,,,#Харківська_область,"🟢 06:13 Відбій тривоги в Харківська область.
Слідкуйте за подальшими повідомленнями."
8278,2022-05-01 06:14:33,1651374873,,,,,#Полтавська_область,"🟢 06:14 Відбій тривоги в Полтавська область.
Слідкуйте за подальшими повідомленнями."
8279,2022-05-01 06:15:34,1651374934,,,,,#Запорізька_область,"🟢 06:15 Відбій тривоги в Запорізька область.
Слідкуйте за подальшими повідомленнями."
8280,2022-05-01 06:17:16,1651375036,,,,,#Сумська_область,"🟢 06:17 Відбій тривоги в Сумська область.
Слідкуйте за подальшими повідомленнями."
8281,2022-05-01 06:39:32,1651376372,,,,,#Великоновосілківська_територіальна_громада,"🔴 06:39 Повітряна тривога в Великоновосілківська територіальна громада
Слідкуйте за подальшими повідомленнями."
8282,2022-05-01 06:40:39,1651376439,,,,,#Дніпропетровська_область,"🔴 06:40 Повітряна тривога в Дніпропетровська область
Слідкуйте за подальшими повідомленнями."
8283,2022-05-01 06:41:08,1651376468,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🔴 06:41 Повітряна тривога в м. Кривий Ріг та Криворізька територіальна громада
Слідкуйте за подальшими повідомленнями."
8284,2022-05-01 06:41:17,1651376477,,,,,#Курахівська_територіальна_громада,"🔴 06:41 Повітряна тривога в Курахівська територіальна громада
Слідкуйте за подальшими повідомленнями."
8285,2022-05-01 06:42:20,1651376540,,,,,#Запорізька_область,"🔴 06:42 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
8286,2022-05-01 07:04:53,1651377893,,,,,#Дніпропетровська_область,"🟡 07:04  Відбій тривоги в Дніпропетровська область.
Зверніть увагу, тривога ще триває у:
-м. Кривий Ріг та Криворізька територіальна громада"
8287,2022-05-01 07:05:11,1651377911,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🟢 07:05 Відбій тривоги в м. Кривий Ріг та Криворізька територіальна громада.
Слідкуйте за подальшими повідомленнями."
8288,2022-05-01 07:06:39,1651377999,,,,,#Курахівська_територіальна_громада,"🟢 07:06 Відбій тривоги в Курахівська територіальна громада.
Слідкуйте за подальшими повідомленнями."
8289,2022-05-01 07:06:46,1651378006,,,,,#Великоновосілківська_територіальна_громада,"🟢 07:06 Відбій тривоги в Великоновосілківська територіальна громада.
Слідкуйте за подальшими повідомленнями."
8290,2022-05-01 07:09:29,1651378169,,,,,#Запорізька_область,"🟢 07:09 Відбій тривоги в Запорізька область.
Слідкуйте за подальшими повідомленнями."
8291,2022-05-01 07:33:35,1651379615,,,,,#Курахівська_територіальна_громада,"🔴 07:33 Повітряна тривога в Курахівська територіальна громада
Слідкуйте за подальшими повідомленнями."
8292,2022-05-01 07:33:40,1651379620,,,,,#Великоновосілківська_територіальна_громада,"🔴 07:33 Повітряна тривога в Великоновосілківська територіальна громада
Слідкуйте за подальшими повідомленнями."
8293,2022-05-01 07:47:22,1651380442,,,,,#Великоновосілківська_територіальна_громада,"🟢 07:47 Відбій тривоги в Великоновосілківська територіальна громада.
Слідкуйте за подальшими повідомленнями."
8294,2022-05-01 07:47:32,1651380452,,,,,#Курахівська_територіальна_громада,"🟢 07:47 Відбій тривоги в Курахівська територіальна громада.
Слідкуйте за подальшими повідомленнями."
8295,2022-05-01 07:50:38,1651380638,,,,,#Полтавська_область,"🔴 07:50 Повітряна тривога в Полтавська область
Слідкуйте за подальшими повідомленнями."
8296,2022-05-01 07:50:42,1651380642,,,,,#Дніпропетровська_область,"🔴 07:50 Повітряна тривога в Дніпропетровська область
Слідкуйте за подальшими повідомленнями."
8297,2022-05-01 07:51:05,1651380665,,,,,#Запорізька_область,"🔴 07:51 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
8298,2022-05-01 07:51:23,1651380683,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🔴 07:51 Повітряна тривога в м. Кривий Ріг та Криворізька територіальна громада
Слідкуйте за подальшими повідомленнями."
8299,2022-05-01 08:18:41,1651382321,,,,,#Полтавська_область,"🟢 08:18 Відбій тривоги в Полтавська область.
Слідкуйте за подальшими повідомленнями."
8300,2022-05-01 08:18:59,1651382339,,,,,#Дніпропетровська_область,"🟡 08:18  Відбій тривоги в Дніпропетровська область.
Зверніть увагу, тривога ще триває у:
-м. Кривий Ріг та Криворізька територіальна громада"
8301,2022-05-01 08:19:18,1651382358,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🟢 08:19 Відбій тривоги в м. Кривий Ріг та Криворізька територіальна громада.
Слідкуйте за подальшими повідомленнями."
8302,2022-05-01 08:20:49,1651382449,,,,,#Запорізька_область,"🟢 08:20 Відбій тривоги в Запорізька область.
Слідкуйте за подальшими повідомленнями."
8303,2022-05-01 08:49:23,1651384163,,,,,#Лиманська_територіальна_громада,"🔴 08:49 Повітряна тривога в Лиманська територіальна громада
Слідкуйте за подальшими повідомленнями."
8304,2022-05-01 08:53:58,1651384438,,,,,#Харківська_область,"🔴 08:53 Повітряна тривога в Харківська область
Слідкуйте за подальшими повідомленнями."
8305,2022-05-01 08:56:48,1651384608,,,,,#Донецька_область,"🔴 08:56 Повітряна тривога в Донецька область
Слідкуйте за подальшими повідомленнями."
8306,2022-05-01 08:57:00,1651384620,,,,,#Лиманська_територіальна_громада,"🟡 08:57  Відбій тривоги в Лиманська територіальна громада.
Зверніть увагу, тривога ще триває у:
-Донецька область"
8307,2022-05-01 09:52:42,1651387962,,,,,#Запорізька_область,"🔴 09:52 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
8308,2022-05-01 10:05:10,1651388710,,,,,#Харківська_область,"🟢 10:05 Відбій тривоги в Харківська область.
Слідкуйте за подальшими повідомленнями."
8309,2022-05-01 10:06:31,1651388791,,,,,#Запорізька_область,"🟢 10:06 Відбій тривоги в Запорізька область.
Слідкуйте за подальшими повідомленнями."
8310,2022-05-01 10:22:46,1651389766,,,,,#Харківська_область,"🔴 10:22 Повітряна тривога в Харківська область
Слідкуйте за подальшими повідомленнями."
8311,2022-05-01 10:30:02,1651390202,,,,,#Харківська_область,"🟢 10:29 Відбій тривоги в Харківська область.
Слідкуйте за подальшими повідомленнями."
8312,2022-05-01 10:52:17,1651391537,,,,,#Донецька_область,"🟢 10:52 Відбій тривоги в Донецька область.
Слідкуйте за подальшими повідомленнями."
8313,2022-05-01 13:08:38,1651399718,,,,,#Одеська_область,"🔴 13:08 Повітряна тривога в Одеська область
Слідкуйте за подальшими повідомленнями."
8314,2022-05-01 13:15:44,1651400144,,,,,#Одеська_область,"🟢 13:15 Відбій тривоги в Одеська область.
Слідкуйте за подальшими повідомленнями."
8315,2022-05-01 13:16:21,1651400181,,,,,#Харківська_область,"🔴 13:16 Повітряна тривога в Харківська область
Слідкуйте за подальшими повідомленнями."
8316,2022-05-01 13:19:24,1651400364,,,,,#Донецька_область,"🔴 13:19 Повітряна тривога в Донецька область
Слідкуйте за подальшими повідомленнями."
8317,2022-05-01 14:07:08,1651403228,,,,,#Полтавська_область,"🔴 14:07 Повітряна тривога в Полтавська область
Слідкуйте за подальшими повідомленнями."
8318,2022-05-01 14:08:37,1651403317,,,,,#Запорізька_область,"🔴 14:08 Повітряна тривога в Запорізька область
Слідкуйте за подальшими повідомленнями."
8319,2022-05-01 14:09:07,1651403347,,,,,#Дніпропетровська_область,"🔴 14:09 Повітряна тривога в Дніпропетровська область
Слідкуйте за подальшими повідомленнями."
8320,2022-05-01 14:09:39,1651403379,,,,,#м_Кривий_Ріг_та_Криворізька_територіальна_громада,"🔴 14:09 Повітряна тривога в м. Кривий Ріг та Криворізька територіальна громада
Слідкуйте за подальшими повідомленнями."
8321,2022-05-01 15:04:17,1651406657,,,,,#Дніпропетровська_область,"🟡 15:04  Відбій тривоги в Дніпропетровська область.
Зверніть увагу, тривога ще триває у:
-м. Кривий Ріг та Криворізька територіальна громада"
