id,date,date_unixtime,edited,edited_unixtime,text_bold,text_plain,text_hashtag,text_string
6,2022-03-15 18:02:56,1647360176,2022-11-11 17:54:42,1668182082,🟢 18:02 Відбій тривоги в Київська область.,,#Київська_область,Слідкуйте за подальшими повідомленнями.
7,2022-03-15 18:10:34,1647360634,2022-11-11 18:02:48,1668182568,🔴 18:10 Повітряна тривога в Вінницька область,,#Вінницька_область,Пройдіть в укриття.
8,2022-03-15 18:11:25,1647360685,2022-11-11 18:02:53,1668182573,🔴 18:11 Повітряна тривога в Житомирська область,,#Житомирська_область,Пройдіть в укриття.
9,2022-03-15 18:11:50,1647360710,2022-11-11 18:02:55,1668182575,🔴 18:11 Повітряна тривога в Уманська територіальна громада,,#Уманська_територіальна_громада,Пройдіть в укриття.
10,2022-03-15 18:14:46,1647360886,2022-11-11 20:17:39,1668190659,🔴 18:14 Повітряна тривога в м. Первомайськ та Первомайська територіальна громада,,#м_Первомайськ_та_Первомайська_територіальна_громада,Пройдіть в укриття.
11,2022-03-15 18:15:11,1647360911,2022-11-11 21:08:58,1668193738,🔴 18:15 Повітряна тривога в Кіровоградська область,,#Кіровоградська_область,Пройдіть в укриття.
12,2022-03-15 18:16:00,1647360960,2022-11-11 17:58:04,1668182284,🔴 18:16 Повітряна тривога в м. Старокостянтинів та Старокостянтинівська територіальна громада,,#м_Старокостянтинів_та_Старокостянтинівська_територіальна_громада,Пройдіть в укриття.
13,2022-03-15 18:17:20,1647361040,2022-11-12 12:03:13,1668247393,🔴 18:17 Повітряна тривога в Сквирська територіальна громада,,#Сквирська_територіальна_громада,Пройдіть в укриття.
14,2022-03-15 18:17:28,1647361048,2022-11-12 23:13:55,1668287635,🔴 18:17 Повітряна тривога в Івано-Франківська область,,#ІваноФранківська_область,Пройдіть в укриття.
15,2022-03-15 18:17:29,1647361049,2022-11-11 17:59:26,1668182366,🔴 18:17 Повітряна тривога в Львівська область,,#Львівська_область,Пройдіть в укриття.
16,2022-03-15 18:18:35,1647361115,2022-11-11 20:22:08,1668190928,🔴 18:18 Повітряна тривога в Рівненська область,,#Рівненська_область,Пройдіть в укриття.
17,2022-03-15 18:19:13,1647361153,2022-11-12 23:56:29,1668290189,🔴 18:19 Повітряна тривога в Волинська область,,#Волинська_область,Пройдіть в укриття.
18,2022-03-15 18:19:20,1647361160,2022-11-11 18:01:57,1668182517,🔴 18:19 Повітряна тривога в м. Київ,,#м_Київ,Пройдіть в укриття.
19,2022-03-15 18:22:29,1647361349,2022-11-12 23:26:14,1668288374,🔴 18:22 Повітряна тривога в Тернопільська область,,#Тернопільська_область,Пройдіть в укриття.
20,2022-03-15 18:26:26,1647361586,2022-11-12 23:56:37,1668290197,🔴 18:26 Повітряна тривога в м. Біла Церква та Білоцерківська територіальна громада,,#м_Біла_Церква_та_Білоцерківська_територіальна_громада,Пройдіть в укриття.
21,2022-03-15 18:26:42,1647361602,2022-11-12 23:56:41,1668290201,🔴 18:26 Повітряна тривога в м. Васильків та Васильківська територіальна громада,,#м_Васильків_та_Васильківська_територіальна_громада,Пройдіть в укриття.
22,2022-03-15 18:30:17,1647361817,2022-11-12 23:56:46,1668290206,🔴 18:30 Повітряна тривога в Чернігівська область,,#Чернігівська_область,Пройдіть в укриття.
23,2022-03-15 18:46:43,1647362803,2022-11-12 23:56:50,1668290210,🔴 18:46 Повітряна тривога в Гребінківська територіальна громада,,#Гребінківська_територіальна_громада,Пройдіть в укриття.
24,2022-03-15 18:46:55,1647362815,2022-11-12 23:56:53,1668290213,🔴 18:46 Повітряна тривога в м. Пирятин та Пирятинська територіальна громада,,#м_Пирятин_та_Пирятинська_територіальна_громада,Пройдіть в укриття.
